Enumeración;Tipo;Tipo N/V;N° Doc.;Id Destinatario;Destinatario;Id Cliente;Razón social;Vendedor;Fecha Emisión;Fecha 1°Entrega;Orden Compra Cliente;Tipo de Expedición;Dirección Destinatario;Comuna;Ciudad;Persona de Contacto;Teléfono;Código Artículo;Descripción;Un.medida venta;Espesor;Jerarquía 1;Texto Jerarquía 1;Jerarquía 2;Texto Jerarquía 2;Jerarquía 3;Texto Jerarquía 3;Largo;Ctd. Solicitada;Ctd. Despachada;Ctd. Pendiente;Kilos Solicitados;Kilos Despachados;Kilos Pendientes;Status Global Pedido SAP;Status de Crédito;Status de Entrega Pos. Pedido SAP;Stock San Bernardo;Stock Lonquén;Total Libre utilización;Stock Disponible San Bernardo;Stock Disponible Lonquen;Precio Unitario;Venta Total;Precio Kilo;Comentario Documento;N° Doc.Ent.;Ctd. Entrega;Fecha Entrega;N° Doc.FU;Ctd. FU;Fecha FU
;ZO08;Ped.B2B carga Autom.;47402;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315527;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;42000101;Mek. Esquinero 30x30x0,4x2400mm;UN;0,4;88888;Mekanocon;8888800002;Mekanocon Tabiques;8,8888E+17;Esquinero Tabique 30;2.400,00;200;0;200;86;0;86;Concluido;No realizado;Entrg.completamente;17.211;0;17.211;13.541;0;559;111.800;1.300;;80364879;200;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47402;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315527;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;42000065;Mek.Canal Estruct.62x25x0,85x6000mm;UN;0,85;88888;Mekanocon;8888800001;Mekanocon Estructural;8,8888E+17;Canal Estructural 0,85;6.000,00;100;0;100;432;0;432;Concluido;No realizado;Entrg.completamente;16.550;0;16.550;14.121;0;4.726;472.600;1.094;;80364879;100;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47402;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315527;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;42000066;Mek.Canal Estruct.62x25x0,85x3000mm;UN;0,85;88888;Mekanocon;8888800001;Mekanocon Estructural;8,8888E+17;Canal Estructural 0,85;3.000,00;400;0;400;864;0;864;Concluido;No realizado;Entrg.completamente;17.250;0;17.250;13.207;0;2.363;945.200;1.094;;80364879;400;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47402;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315527;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;42000075;Mek.Omega Normal. 38x35x15x8x0,85x6000mm;UN;0,85;88888;Mekanocon;8888800001;Mekanocon Estructural;8,8888E+17;Omega Estructural 0,85;6.000,00;100;0;100;588;0;588;Concluido;No realizado;Entrg.completamente;28.908;0;28.908;22.975;0;6.433;643.300;1.094;;80364879;100;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47402;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315527;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;42000024;Mek.Mont.Estruct.60x38x6x0,85x6000mm;UN;0,85;88888;Mekanocon;8888800001;Mekanocon Estructural;8,8888E+17;Montante Estructural 0,85;6.000,00;400;0;400;2.304;0;2.304;Concluido;No realizado;Entrg.completamente;14.303;0;14.303;8.374;0;6.302;2.520.800;1.094;;80364879;400;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47402;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315527;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;42000104;Mek. Port. Cielo 40x18x10x0,50x3000mm;UN;0,5;88888;Mekanocon;8888800003;Mekanocon Cielos;8,8888E+17;Portante Cielo;3.000,00;600;0;600;684;0;684;Concluido;No realizado;Entrg.completamente;24.750;0;24.750;18.290;0;1.247;748.200;1.094;;80364879;600;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47402;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315527;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;42000094;Mek. Canal Tabique 39x20x0,50x3000mm;UN;0,5;88888;Mekanocon;8888800003;Mekanocon Cielos;8,8888E+17;Canal Perimetral Cielo;3.000,00;400;0;400;372;0;372;Concluido;No realizado;Entrg.completamente;22.121;0;22.121;17.230;0;1.018;407.200;1.095;;80364879;400;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47402;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315527;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;42000098;Mek. Canal 61x20x0,50x3000mm;UN;0,5;88888;Mekanocon;8888800003;Mekanocon Cielos;8,8888E+17;Canal Perimetral Cielo;3.000,00;432;0;432;505,44;0;505,44;Concluido;No realizado;Entrg.completamente;18.323;0;18.323;14.293;0;1.280;552.960;1.094;;80364879;432;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47402;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315527;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;42000086;Mek Mont Tabique P 60x38x6x0,50x2400mm;UN;0,5;88888;Mekanocon;8888800002;Mekanocon Tabiques;8,8888E+17;Montante Tabique Normal;2.400,00;840;0;840;1.125,60;0;1.125,60;Concluido;No realizado;Entrg.completamente;13.091;0;13.091;5.891;0;1.470;1.234.800;1.097;;80364879;840;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47417;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315526;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;41000002;P. Ab. Angulo 25x25x2,0x6000mm;UN;2;11111;Perfiles Abiertos;1111100001;Perf. Ab. Angulo;1,1111E+17;Perf. Ab. Angulo 2,0 mm;6.000,00;50;0;50;219;0;219;Concluido;No realizado;Entrg.completamente;7.746;0;7.746;7.146;0;3.873;193.650;884;;80364881;50;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47417;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315526;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;41000005;P. Ab. Angulo 30x30x2,0x6000mm;UN;2;11111;Perfiles Abiertos;1111100001;Perf. Ab. Angulo;1,1111E+17;Perf. Ab. Angulo 2,0 mm;6.000,00;50;0;50;267;0;267;Concluido;No realizado;Entrg.completamente;13.033;0;13.033;12.543;0;4.723;236.150;884;;80364881;50;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47417;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315526;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;41000042;P. Ab. Cost. 80x40x15x2,0x6000mm;UN;2;11111;Perfiles Abiertos;1111100003;Perf. Ab. Costanera;1,1111E+17;Perf. Ab. Costanera 2,0 mm;6.000,00;50;0;50;834;0;834;Concluido;No realizado;Entrg.completamente;3.690;0;3.690;3.360;0;14.752;737.600;884;;80364881;50;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47417;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315526;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;40000220;Tubo Cuad.15x15x1,5x6000mm;UN;1,5;22222;Tubos;2222200001;Tubo Cuadrado;2,2222E+17;Tubo Cuadrado 1,5;6.000,00;100;0;100;354;0;354;Concluido;No realizado;Entrg.completamente;7.753;0;7.753;7.045;0;3.341;334.100;944;;80364881;100;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47417;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315526;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;40000224;Tubo Cuad.20x20x2,0x6000mm;UN;2;22222;Tubos;2222200001;Tubo Cuadrado;2,2222E+17;Tubo Cuadrado 2,0;6.000,00;80;0;80;504;0;504;Concluido;No realizado;Entrg.completamente;30.013;0;30.013;29.103;0;5.698;455.840;904;;80364881;80;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47417;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315526;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;40000234;Tubo Cuad.40x40x2,0x6000mm;UN;2;22222;Tubos;2222200001;Tubo Cuadrado;2,2222E+17;Tubo Cuadrado 2,0;6.000,00;80;0;80;1.108,80;0;1.108,80;Concluido;No realizado;Entrg.completamente;14.666;0;14.666;12.766;0;12.535;1.002.800;904;;80364881;80;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47417;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315526;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;40000237;Tubo Cuad.40x40x3,0x6000mm;UN;3;22222;Tubos;2222200001;Tubo Cuadrado;2,2222E+17;Tubo Cuadrado 3,0;6.000,00;80;0;80;1.584;0;1.584;Concluido;No realizado;Entrg.completamente;1.560;0;1.560;-456;0;17.907;1.432.560;904;;80364881;80;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47417;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315526;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;40000278;Tubo Cuad.75x75x3,0x6000mm;UN;3;22222;Tubos;2222200001;Tubo Cuadrado;2,2222E+17;Tubo Cuadrado 3,0;6.000,00;50;0;50;1.980;0;1.980;Concluido;No realizado;Entrg.completamente;1.208;0;1.208;723;0;35.815;1.790.750;904;;80364881;50;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47417;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315526;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;40000294;Tubo Cuad.100x100x2,0x6000mm;UN;2;22222;Tubos;2222200001;Tubo Cuadrado;2,2222E+17;Tubo Cuadrado 2,0;6.000,00;20;0;20;728,4;0;728,4;Concluido;No realizado;Entrg.completamente;4.257;0;4.257;3.818;0;32.939;658.780;904;;80364881;20;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47417;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315526;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;40000316;Tubo Cuad.100x100x3,0x6000mm;UN;3;22222;Tubos;2222200001;Tubo Cuadrado;2,2222E+17;Tubo Cuadrado 3,0;6.000,00;20;0;20;1.075,20;0;1.075,20;Concluido;No realizado;Entrg.completamente;1.721;0;1.721;1.189;0;48.622;972.440;904;;80364881;20;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47417;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315526;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;40000002;Tubo Rect.40x20x1,5x6000mm;UN;1,5;22222;Tubos;2222200002;Tubo Rectangulo;2,2222E+17;Tubo Rectangulo 1,5;6.000,00;40;0;40;312;0;312;Concluido;No realizado;Entrg.completamente;4.463;0;4.463;3.973;0;7.360;294.400;944;;80364881;40;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47417;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315526;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;40000003;Tubo Rect.40x20x2,0x6000mm;UN;2;22222;Tubos;2222200002;Tubo Rectangulo;2,2222E+17;Tubo Rectangulo 2,0;6.000,00;80;0;80;806,4;0;806,4;Concluido;No realizado;Entrg.completamente;3.838;0;3.838;2.553;0;9.116;729.280;904;;80364881;80;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47417;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315526;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;40000028;Tubo Rect.70x30x2,0x6000mm;UN;2;22222;Tubos;2222200002;Tubo Rectangulo;2,2222E+17;Tubo Rectangulo 2,0;6.000,00;80;0;80;1.406,40;0;1.406,40;Concluido;No realizado;Entrg.completamente;4.691;0;4.691;4.283;0;15.900;1.272.000;904;;80364881;80;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47417;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315526;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;40000034;Tubo Rect.80x40x2,0x6000mm;UN;2;22222;Tubos;2222200002;Tubo Rectangulo;2,2222E+17;Tubo Rectangulo 2,0;6.000,00;80;0;80;1.708,80;0;1.708,80;Concluido;No realizado;Entrg.completamente;6.600;0;6.600;6.034;0;19.318;1.545.440;904;;80364881;80;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47417;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315526;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;40000039;Tubo Rect.80x40x3,0x6000mm;UN;3;22222;Tubos;2222200002;Tubo Rectangulo;2,2222E+17;Tubo Rectangulo 3,0;6.000,00;50;0;50;1.557;0;1.557;Concluido;No realizado;Entrg.completamente;681;0;681;437;0;28.164;1.408.200;904;;80364881;50;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47417;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315526;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;40000044;Tubo Rect.100x50x2,0x6000mm;UN;2;22222;Tubos;2222200002;Tubo Rectangulo;2,2222E+17;Tubo Rectangulo 2,0;6.000,00;80;0;80;2.160;0;2.160;Concluido;No realizado;Entrg.completamente;3.283;0;3.283;2.984;0;24.419;1.953.520;904;;80364881;80;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47417;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315526;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;40000153;"Tubo Red. 2""x2,0x6000mm";UN;2;22222;Tubos;2222200003;Tubo Redondo;2,2222E+17;Tubo Redondo 2,0;6.000,00;20;0;20;289,2;0;289,2;Concluido;No realizado;Entrg.completamente;4.135;0;4.135;3.933;0;13.077;261.540;904;;80364881;20;12-03-2025;;0;
;ZO08;Ped.B2B carga Autom.;47417;76568EA619;EASY CROSS EA619 ARICACOST;76568660;EASY RETAIL S.A.;CORPORATIVO EASY;12-03-2025;26-03-2025;6508315526;SOD/EASY TiendaCross;DIEGO PORTALES 161;ARICA;ARICA;;;40000142;"Tubo Red. 1 1/2""x2,0x6000mm";UN;2;22222;Tubos;2222200003;Tubo Redondo;2,2222E+17;Tubo Redondo 2,0;6.000,00;10;0;10;106,8;0;106,8;Concluido;No realizado;Entrg.completamente;954;0;954;864;0;9.660;96.600;904;;80364881;10;12-03-2025;;0;
;ZO01;Ped. Estándar Nac.;44543;93772P23;PRODALAM CALAMA;93772000;PRODALAM S.A.;MAURICIO ZUÑIGA;04-02-2025;13-02-2025;4500989286;OtrosClientes Despac;ALBERTO PEPPER 1610;RENCA;SANTIAGO;;;45000052;"C. ASTM A-53 Negra 2""x6000mm S/H";UN;3,45;33301;Cañerias;3330100005;Cañerias ASTM A -53 negra S/Hilo;3330100005;Cañerias ASTM A -53 negra S/Hilo;6.000,00;15;3;12;489,6;97,92;391,68;Concluido;No realizado;Entrg.completamente;12;63;75;-5;33;25.459;381.885;780;;80364891;12;12-03-2025;;0;
;ZO01;Ped. Estándar Nac.;46793;93772P23;PRODALAM CALAMA;93772000;PRODALAM S.A.;MAURICIO ZUÑIGA;05-03-2025;18-03-2025;4500993672;OtrosClientes Despac;ALBERTO PEPPER 1610;RENCA;SANTIAGO;;;45000052;"C. ASTM A-53 Negra 2""x6000mm S/H";UN;3,45;33301;Cañerias;3330100005;Cañerias ASTM A -53 negra S/Hilo;3330100005;Cañerias ASTM A -53 negra S/Hilo;6.000,00;80;75;5;2.611,20;2.448;163,2;En proceso;No realizado;Entrg.parcialmente;12;63;75;-5;33;24.480;1.958.400;750;;;0;;;0;
;ZO01;Ped. Estándar Nac.;47221;78063780;SOCIEDAD AGRICOLA LA ROTUNDA;78063780;SOCIEDAD AGRICOLA LA ROTUNDA;GIANNINA YAMAL;10-03-2025;24-03-2025;10309;OtrosClientes Retira;CAMINO VIEJO, KM.2, FUNDO LA ROTUNDA;CASA BLANCA;VALPARAISO;;;50006594;IM4 1000x0,4x9800mm Ral-9003;UN;0,4;55501;Cubiertas Industriales;5550100002;Cubiertas Industriales Industrial;5550100002;Cubiertas Industriales Industrial;9.800,00;104;0;104;3.699,28;0;3.699,28;Pendiente;Aprobado;No entregado;0;0;0;-104;0;45.080;4.688.320;1.267;;;0;;9100024184;104;10-03-2025
;ZO01;Ped. Estándar Nac.;47221;78063780;SOCIEDAD AGRICOLA LA ROTUNDA;78063780;SOCIEDAD AGRICOLA LA ROTUNDA;GIANNINA YAMAL;10-03-2025;24-03-2025;10309;OtrosClientes Retira;CAMINO VIEJO, KM.2, FUNDO LA ROTUNDA;CASA BLANCA;VALPARAISO;;;50000256;IM4 1000x0,4x8600mm Ral-9003;UN;0,4;55501;Cubiertas Industriales;5550100002;Cubiertas Industriales Industrial;5550100002;Cubiertas Industriales Industrial;8.600,00;61;0;61;1.904,30;0;1.904,30;Pendiente;Aprobado;No entregado;0;0;0;-61;0;39.560;2.413.160;1.267;;;0;;9100024184;61;10-03-2025
;ZO01;Ped. Estándar Nac.;47221;78063780;SOCIEDAD AGRICOLA LA ROTUNDA;78063780;SOCIEDAD AGRICOLA LA ROTUNDA;GIANNINA YAMAL;10-03-2025;24-03-2025;10309;OtrosClientes Retira;CAMINO VIEJO, KM.2, FUNDO LA ROTUNDA;CASA BLANCA;VALPARAISO;;;50000235;IM4 1000x0,4x6100mm Ral-9003;UN;0,4;55501;Cubiertas Industriales;5550100002;Cubiertas Industriales Industrial;5550100002;Cubiertas Industriales Industrial;6.100,00;43;0;43;952,149;0;952,149;Pendiente;Aprobado;No entregado;0;0;0;-43;0;28.060;1.206.580;1.267;;;0;;9100024184;43;10-03-2025
